Registered Agents in UAE,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Data,,,,,,,,,,Enriched Data,,,,,,,,,,,,,,,
ID,Firm Name, Arabic Name, Email ,Phone, Emirate, Address ,,Address from License,Harmonized Phone Number,Principal Representative,Title of the Principal Representative,Team Member in AIPPI,Title,Contact of the Team Member,Team Member,Title,Contact of the Team Member,Firm Type ,Specialized in,Notes,Zone(Free Zone or Mainland),Type of Office,Headquarter,Rating,Explanation
115,ATB GLOBAL PATENT AND TRADE MARKS AGENTS,اى تي بي جلوبال لوكلاء تسجيل براءات الاختراع,asha@atblegal.com,+971 2 886 9955,Abu Dhabi,"ATB Global Patent and Trademarks Agents LLC SPC
Office 1325, Dar Al Salam Building
Corniche, P.O. Box 6157
Abu Dhabi, UAE",,,+97128869955,Asha Treesa Bejoy,Founder | Managing Partner,,,,Sudha Sampath,Associate Partner,,Full-Service Legal Consultancy and IP Agency,"Trademark Search & Clearance, Trademark Filings & Registrations, Facilitation for Non-Madrid Countries, Renewals & Maintenance, Trademark Watch & Monitoring, Opposition, Cancellation & Enforcement, Trademark Licensing & Assignments, Cease-and-Desist Actions, IP Due Diligence, Patent Search & Analysis, Patent Drafting & Filing, National & International Filings, Patent Prosecution, Technology Transfer & Licensing, Patent Enforcement, Copyright Registration & Advisory, Software & App Protection, Licensing, Assignment & Commission Agreements ","ATB Legal is a full-service legal consultancy in the UAE with offices in Abu Dhabi and Ras Al Khaimah. We also work with a network of firms in the wider GCC, India, the UK, Singapore and Africa. Our UAE office is registered with the DIFC Courts and the ADGM Courts, and has full rights of audience. We also represent clients before various arbitral tribunals including the DIAC and the ICC. For mainland court litigations, ATB Legal works very closely with reputed Emirati firms.",,Physical,"Dubai, UAE - Dubai (default – single office)",,
114,DESTEK INTELLECTUAL PROPERTY,ديستيك للمصنفات الفكرية,adel.abdelhamid@destekmena.com,97142690673,Dubai,"Level 12, Rolex Tower, Sheikh Zayed Road",,,+97142690673,Kemal YAMANKARADENIZ,Chairman of the Board,,,,Faruk YAMANKARADENIZ,Chief Executive Officer,,International Intellectual Property Consultancy and Agency,"Portfolio Management, Examination of Similarity, Opposition and Administrative Appeal, Trademark Valuation, Trademark Monitoring, Patent Drawing, Patent Drawing, Portfolio Management, Infringement Analysis, Patent Operation System (PATSIS)
","Destek Patent, established in 1983, is a full-service IP firm with 11 offices in Türkiye and 4 regional offices in the UAE, Kazakhstan, Switzerland, and the UK, providing comprehensive IP services across 195 countries. Its expertise includes trademarks, patents/utility models, copyrights, designs, geographical indications, and plant varieties, as well as IP searches, infringement analysis, sector studies, branding creation, and employee IP training. Destek Patent is distinguished by high-value consultancy services, certified quality (ISO 9001, ISO 10002, ISO 10668, ISO 27001), and a commitment to raising IP awareness, contributing to the founding of key professional associations in Türkiye.",,Unknown,"Istanbul, Turkey- Overseas HQ",,
113,Amr Eldakak Intellectual property,عمرو الدقاق للملكية الفكرية ش.ذ.م.م,amr@eldakakip.com,971500000000,Dubai,"P.O. 123337, Dubai, UAE",,"Office 1914, Burj Kha, عباسملك- 1914-285بردبي -خان جول فيضالتجاري-الخليج",+971500000000,Dr. Amr Eldakak,Owner | Manager,,,,,,,Specialized Intellectual Property Law Boutique,"IP search, IP strategy advice, IP training ,IP translation, Patent annuity payment, Patent drafting, Patent filing and / or prosecution, Trademark registration / application / filing, Trademark renewal payment. Field: Artificial Intelligence, Biology and biotechnology, Chemical engineering, Civil engineering, Electrical engineering, electronic engineering, information engineering, Environmental engineering, Health sciences","Amr Eldakak Intellectual Property (AEIP) is a Middle East-based IP firm providing comprehensive services in patents, trademarks, industrial designs, and utility models with global reach and high-quality standards. Founded by Dr. Amr Eldakak, a US-registered bilingual patent agent with international experience, AEIP offers strategic IP counseling to clients of all sizes, bridging Western and Eastern IP practices to help protect and maximize the value of innovations.",,Physical,"Dubai, UAE - Dubai (default – single office)",5 star,
112,Palladium Intellectual Property,بالاديوم لتسجيل المصنفات الفكرية,info@palladium-ip.com,45935511,Dubai,"Office No. 104, Level 1 Emaar Square Building 4,
Sheikh Mohammed Bin Rashid Boulevard,
Downtown Dubai, United Arab Emirates",,,+97145935511,Simba Makahamadze,Managing Partner,,,,Khalid Elkhabir,"Senior Partner, Intellectual Property Law.",,Boutique IP Consulting and Management Firm,"Trademarks, Industrial Designs, Patents, IP CONSULTING & ADVISORY, COMPANY SETUP AGENCIES SUPPORT, IP TRAINING","PalladiumIP™ Consultants is a premier IP consulting firm providing end-to-end services from IP creation to commercialization. The firm offers strategic protection for trademarks, patents, and other IP assets, including searches, filing, prosecution, portfolio management, and watch services across Zimbabwe, ARIPO, OAPI, UAE, GCC, and global markets through a network of associates. With a focus on innovation, commercial value, and tailored strategies, PalladiumIP™ helps clients safeguard and maximize the potential of their intellectual property.",,Physical,"Dubai, UAE - Dubai (default – single office)",,
110,Hamad Al-Rahma Advocates,حمد الرحمة للمحاماة والاستشارات القانونية,info@primecase.com,97144227465,Dubai,"Park Place Building, 14th Floor, Trade Center 1, Dubai, United Arab Emirates",,,+97144227465,Mohammad A. El Ghul,,,,,,,,Full-Service Emirati Law Firm,IP litigation & Commercial disputes.,"Primecase is a UAE-based law firm specializing in complex litigation, commercial disputes, and niche areas such as bankruptcy, insolvency, banking and finance litigation, intellectual property disputes, construction, and employment law. Known for practical, innovative solutions, the firm advises clients across commercial, corporate, retail, healthcare, pharmaceuticals, education, and luxury sectors, handling cases at all stages including appeal and enforcement of arbitration awards. Primecase provides end-to-end legal support, from risk mitigation and strategic counsel to representation in UAE courts and before regulatory authorities.",,Physical,"Dubai, UAE - Dubai (default – single office)",,
108,Audiri Vox Intellectual Property,اودرى فوكس لإدارة الحقوق والملكيات الفكرية,global@audirivox.com,45826655,Dubai,"309 Churchill Tower, Business Bay, Dubai, United Arab Emirates",,,+97145826655,Sarmad Hasan Manto,Managing Partner,,,,Divyendu Verma,Head of Global Patents,,"Multinational IP Powerhouse, Global IP Firm, Full-Service IP Firm","Anti-counterfeiting, franchising, IP Valuation, Expert reports, Publication",Operates a massive global network; high volume. Institutional.,,Unknown,"Dubai, UAE - Dubai (default – single office)",,
107,DR. SARHAN ALMUAINI ADVOCATES,الدكتور سرحان المعيني للمحاماة,info@drsarhanlawyer.ae,42324000,Dubai,"1002, The Oberoi Centre, Business Bay, Dubai, United Arab Emirates",,,+97142324000,DR. SARHAN ALMUAINI,Owner,,,,"Aladdin Abdullah
",Senior Legal Advisor,,Full-Service Emirati Legal Practice,"provides comprehensive intellectual property services in the UAE and MENA region, including trademark, copyright, and patent registration, product registration, IP litigation and enforcement, due diligence, licensing and franchising agreements, and IP audits. The team offers expert guidance to help clients navigate domestic and international IP landscapes, protecting innovations, trade secrets, and commercial interests.","Dr. Sarhan Almuaini Law Firm & Legal Consultancy, founded in 2017 in Dubai, provides client-focused legal services across all aspects of litigation. With a team of highly trained and experienced attorneys, the firm offers realistic advice, prepares legal documentation, and represents clients in court, arbitration, mediation, and negotiation, delivering effective solutions while upholding integrity, professionalism, and a strong track record of favorable results.",,Physical,"Dubai, UAE- Declared HQ",,
106,O W N Intellectual Property L.L.C,او دبليو ان للملكية الفكرية ذ.م.م,efiling.ae@ownership.asia,971505596731,Dubai,"IPO Box 418132, 503 Capital Golden Tower, Business Bay, Dubai, United Arab Emirates",,,+971505596731,Rob Deans,Principal,,,,Coral Toh,Principal,"
coral.toh@ownership.asia",pecialized boutique IP consultancy,Digital IP & Trademark filing.,Specialist in tech-sector and online brand protection. Standard.,,Physical,"Dubai, UAE - Dubai (default – single office)",2,
104,Noura Almaazmi Advocate,نورة المازمي للمحاماه والاستشارات القانونية,admin@almaazmilawyers.com,97142413555,Dubai,"1702, The Oberoi Center, Business Bay, Dubai, United Arab Emirates",,,+97142413555,,,,,,,,,Full-Service Emirati Law Firm,Full-Service Emirati Law Firm,"Noura Almaazmi Advocates & Legal Consultancy is a Dubai-based law firm offering multidisciplinary legal services to individuals, entrepreneurs, SMEs, and corporates. With an experienced team averaging 22 years in practice, the firm provides tailored advice, develops strategic action plans, and delivers innovative solutions to meet clients’ goals effectively.",,Physical,"Dubai, UAE - Dubai (default – single office)",,
103,Baianat IP Intellectual Property,بيانات اي بي للملكية الفكرية,aepto@baianat-ip.com,43687393,Dubai,"Office 1510, Churchill tower, Business Bay, Dubai, United Arab Emirates",,,+97143687393,,,,,,,,,regional IP powerhouse,"GCC-wide filings & Anti-counterfeiting, IP Related
Services, IP legal
Services, IP Rights Registration &
Maintenance, Patents Related
Services, Corporate &
Commercial Law, Trademarks Related
Services","Baianat Intellectual Property is a leading IP firm operating across the Middle East and North Africa with 25+ offices in 15+ countries. With extensive experience and a global network of IP experts, the firm helps businesses identify, protect, develop, and enforce their IP rights, delivering efficient, high-quality services with a focus on innovation, workflow optimization, and quick turnaround times..",,Physical,"Dubai, UAE - Dubai (default – single office)",,
102,The Legal Group Advocates,المجموعة القانونية محامون ومستشارون,patents@tlg-ip.com,97144225831,Dubai,"Saha Offices block C, Souk al Bahar",,,+97144225831,Saif Alshamsi,Founder | Managing Partner,,,,,,,Boutique Law Firm,Market raids & IP enforcement.,"The Legal Group (TLG), founded in 1998 by Saif Saeed Rashid Al Shamsi, is a boutique UAE law firm committed to excellence in legal practice. TLG’s team of skilled lawyers provides strategic, client-focused legal services, combining rigorous advocacy with diplomatic negotiation, guided by a philosophy of superior, judicious representation.",,Physical,"Dubai, UAE - Dubai (default – single office)",,
100,Lavender Intellectual Property,لافندر للملكية الفكرية,info@lavenderip.com,2-6279440,Abu Dhabi,"Dar Al Salam Building, 13 floor, Cornich Road, Abu Dhabi, UAE",,,+97126279440,,,,,,,,,Specialized IP Boutique,"Abu Dhabi registrations & renewals, Regional GCC Expert","Lavender is an IP firm specializing in the protection of intellectual property rights, including trademarks, patents, copyrights, and industrial designs. The firm provides comprehensive support and guidance to help clients safeguard their innovations and creative works, delivering high-quality, professional services to ensure legal protection and commercial success.",,Physical,"Dubai, UAE - Dubai (default – single office)",,
99,AL NAWRAS INTELLECTUAL PROPERTY,النورس للملكية الفكرية و الاستشارات,info@aipmcae.com,971564633944,Dubai,"Office No. 811/2 Marasi Dr , Business Bay , Dubai, United Arab Emirates",,,+971564633944,Awaad Al-zboon,Management Team,,,,,,,IP law firm,"IP funding, IP licensing, IP search, IP strategy advice, IP training, IP translation, IP valuation, Litigation, Negotiation, Opposition, Other IP consultancy services (also IP management advice), Other IP legal services (also IP in contracts), Patent annuity payment, Patent drafting, Patent filing,or prosecution, Representation in court, Representation in front of IP office, Trademark design ",Focuses on IP valuation and commercialization. Standard.,,Physical,"Dubai, UAE - Dubai (default – single office)",,
98,SYMONS INTELLECTUAL PROPERTY LLC,سايمونس انتكليكتشول بروبيرتي ش.ذ.م.م,kate@symonsip.com,528903087,Dubai,"Office 307, Building 6, Bay Square, Business Bay,
P O Box 75633, Dubai, UAE",,,+971528903087,Kate Symons,Founder,,,,,,,Boutique Intellectual Property (IP) law firm,"Brand strategy, clearace searching, trademark registration, trademark surveillance, and enforcement & commersialization","SIP combines in-house and private practice expertise to deliver clear, consistent, and tailored intellectual property guidance. Supporting blue-chip corporations, SMEs, start-ups, and IP professionals, SIP offers hands-on partner expertise to help clients confidently navigate IP matters across the Gulf region—recognizing that no single solution fits all.",,Physical,"Dubai, UAE- Declared HQ",2,
97,B S A AHMAD BIN HEZEEM & ASSOCIATES,بي اس ايه أحمد بن هزيم و مشاركوه,maysa.hasan@bsabh.com,43685555,Dubai,Business Bay - Office 2008-43,,,+97143685555,Jimmy Haoula,Managing Partner,,,,Felicity Hammond,Head of Intellectual Property,felicity.hammond@bsalaw.com,Not an SRA-regulated law practice,"Clearance availability searches for trademarks, designs and patents, Maintenance of trademarks and enforcement, Negotiating, drafting and recording licenses and assignments of IP rights including licenses and distribution, franchise and joint venture agreements, IP due diligence, asset audit and management, Pharmaceutical and regulatory advice, Regulatory and compliance work, Consumer Protection, Labelling and standards compliance, Overseeing IP portfolio, preparing and filing applications and processing them to registration, Transferring title for all forms of IP, Commercialization of IP and support to corporate transactions, Privacy and data protection, Media content protection, Domain name protection and UDRP, Competition law","BSA Ahmad Bin Hezeem & Associates, established in 2001, is a leading Middle East law firm with nine offices across five countries. Founded in Dubai and grown organically, BSA delivers premium legal services through a modern, market-driven approach. Known for its cultural insight, deep expertise, and powerful regional network, BSA goes beyond traditional legal advice—connecting people, fostering collaboration, and driving meaningful change across the region.",,Physical,"Dubai, UAE- Declared HQ",3,
96,Al Rasheed & partners,الرشيد و مشاركوه,dubai@alrasheed.ae,42999991,Dubai,"602 Business Point Building
Port Saeed Deira,  Office 602, Dubai, United Arab Emirates",,,+97142999991,Ahmed Al Rasheed,Founding Partner,,,,Rashid Al Rasheed,Co-Founding Partner,,"full-service, Emirati law firm","Intellectual Property Consultation, Trademark Registration, Trademark Renewal, IP (Intellectual Property) Assignment Deed, Trademark Audit, Copyright Review, IP Health Check","Al Rasheed & Partners, established in 1981, is a highly respected UAE law firm with offices in Dubai and Sharjah. Known for its ethical practice, client-centric approach, and experienced legal team, the firm provides tailored legal solutions to individuals, businesses, and multinational corporations. With decades of expertise and a strong reputation for integrity, Al Rasheed & Partners delivers reliable, transparent, and comprehensive legal services across a wide range of sectors.",,Physical,"Dubai, UAE - Dubai (default – single office)",3,
95,HADEF & PARTNERS L.L.C,هادف و شركاوه ذ.م.م,k.mirza@hadefpartners.com,971502684200,Dubai,"Building 3, Level 5, Downtown Dubai, United Arab Emirates",,,+971502684200,Dr. Hadef Al Dhaheri,Founding Partner,,,,Richard Briggs,"Executive Partner, Dubai",r.briggs@hadefpartners.com,"leading independent, full-service UAE law firm","Advertising, Confidential Information / Trade Secrets, Contentious Intellectual Property, Copyright, Designs, IP Commercialisation, IP Enforcement, IP Portfolio Management, Trademarks","Hadef & Partners is a leading UAE law firm with over 40 years of experience guiding clients through change with clarity and confidence. Known for its integrity, strategic insight, and sector-focused expertise, the firm delivers bespoke legal advice that helps businesses grow, protect assets, resolve disputes, and stay ahead in an evolving legal and commercial landscape—where legacy meets vision.",,Physical,"Abu Dhabi, UAE- Overseas HQ  DIFC",4,
94,Bird & Bird (MEA) LLP,بيرد أند بيرد ( أم إي أيه ) ال ال بي,Patent.Design@twobirds.com,00971-026108100,Abu Dhabi,"Level 14, Burj Daman, DIFC, PO BOX 507110, Dubai, United Arab Emirates",,,+971026108100,Melissa Murray,Partner,,,,Saarah Badr,Senior Counsel,saarah.badr@twobirds.com,"major international, full-service law firm","Copyright & related rights, Patents, Product Design, Trade Marks & Brands, Transactional IP","Bird & Bird is a global law firm specialising in intellectual property, trusted by innovation-led businesses to protect, manage, and enforce IP rights worldwide. Combining deep legal expertise with real industry and in-house experience, the firm delivers commercially focused, forward-looking IP strategies that help clients protect innovation, unlock value, and maintain a competitive edge across markets.",,Physical,"London, United Kingdom- Overseas HQ DIFC",5 star,
89,Alyafi IP group S.A.L,شركة اليافي أي بي غروب اوف شور,patents@alyafi-ip.com,561611360,Sharjah,"Megamall Tower Plot 260 , Office number 4017-03, Level 4 PO Box 73500Bu Daniq Al Qassimia, UAE",,,+971561611360,Mowafak Alyafi,Managing Partner,,,,Tima Hachem,Partner,thachem@alyafi-ip.com,Majority Women-Owned and Operated Innovation Boutique in the GCC,"Intellectual Property in M&A Transactions, Intellectual Property Legal Services, IP Services, Intellectual Property Strategy and Consulting, IP Commercialization
","Alyafi IP Group is an innovation consulting boutique operating across New York, the GCC, and the MENA region. With roots dating back to 1975 through Yafi & Co., the group brings decades of experience in intellectual property, innovation strategy, commercialization, and technology transfer. Backed by a multidisciplinary team and a strong international network, Alyafi IP Group delivers integrated, regionally focused solutions and is proudly the only majority women-owned and operated innovation boutique in the GCC and Middle East.",,Physical,"Beirut, Lebanon - Overseas HQ",4,
88,Kadasa Intellectual Property Co.,شركة كدسه للملكية الفكرية - فرع دبي,info.uae@kadasa.com.sa,04-2552950,Dubai,"Office 1501, Deira, Raqa Albutain, Dubai, United Arab Emirates",,,+971042552950,,,,,,,,,premier independent Saudi Arabian law and consultancy firm,"IP Registration &
Protection, Enforcement &
Dispute, IP Management and
Strategy, Specialized Legal
Services","Kadasa Company for Legal Consultations and Intellectual Property, established in 1978, is a licensed and accredited Saudi firm specialising in trademarks and intellectual property services. With over 45 years of experience across Saudi Arabia, the MENA region, and international markets, Kadasa supports local and global clients with complex IP portfolio registrations and multi-jurisdictional matters, backed by strong international partnerships and sector-specific expertise, including pharmaceuticals.",,Unknown,"Riyadh, Saudi Arabia- Overseas HQ Dubai",,
87,Leader Consulting LLC,ليدر للاستشارات ذ.م.م,cs@leader.ae,43343000,Dubai,"Bur Dubai, Bur Saeed",,,+97143343000,Ismail Alkhezani,Trademark Consultant,,,,Hamad Ahmed Alwari,Development Manager,,full-service Emirati law firm.,"Trademark, copyright, industrial models, exclusive commercial agencies, agencies services","Leader Consulting is an Emirati intellectual property firm established in 2004 by brothers Ismail and Youssef Al-Khuzani. Specialising in trademarks and IP advisory services, the firm is supported by experienced examiners and IP specialists. Based in the Ministry of Economy building at Central Park Towers, Dubai International Financial Centre, Leader Consulting is known for its credibility, strategic guidance, and strong global network of partners and agents.",,Physical,"Dubai, UAE - Dubai (default – single office)",2,
86,Gowling WLG IP L.C.C,جاولينغ دبليو ال جي أي بي ذ.م.م,mea-ip@gowlingwlg.com,04-4375100,Dubai,"Office No. 5, Business Bay, Dubai, United Arab Emirates",,,+971044375100,Peter Anagnostou,Partner,,,,Arwa Abdeh,Associate,arwa.abdeh@gowlingwlg.com,"major international, full-service law firm","Brand Protection, IP Litigation & Strategy, Patents, Trade Secrets Law, Trademarks, Brands & Designs","Gowling WLG is a sector-focused international law firm built on the belief that legal matters are ultimately about people. Going beyond traditional legal advice, the firm partners closely with clients to anticipate challenges, deliver proactive and responsible solutions, and create positive business outcomes. Known for its collaborative approach and shared values, Gowling WLG supports clients in navigating modern business realities with confidence and purpose.",,Physical,Canada / United Kingdom- Overseas HQ	DIFC,5,
85,AIPT Intellectual Property Rights,ايه اي بي تي لادارة الحقوق و الملكيات,dubai@aiptlaw.com,97142987822,Dubai,"Al Shoala Building Block E, Deira, Dubai, United Arab Emirates",,,+97142987822,,,,,,,,,IP Management,IP enforcement & Brand monitoring.,Efficient in handling large trademark portfolios. Corporate.,,Physical,"Dubai, UAE - Dubai (default – single office)",,
